    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
 5548,       7602132,         7596596,           8260,     62068,       30378,        447,           ,             ,            ,   121338,      64338,       499
 5549,       7603658,         7598121,           8350,     62106,       30389,        452,           ,             ,            ,   121378,      64286,       498
 5550,       7604033,         7598495,           8300,     62102,       30376,        442,           ,             ,            ,   121365,      64317,       493
 5551,       7605195,         7599656,           8307,     62109,       30381,        442,           ,             ,            ,   121354,      64335,       492
 5552,       7608672,         7603132,           8457,     62140,       30401,        428,           ,             ,            ,   121419,      64391,       492
 5553,       7613781,         7608240,           8438,     62178,       30503,        452,           ,             ,            ,   121420,      64381,       503
 5554,       7616964,         7611422,           8318,     62198,       30471,        453,           ,             ,            ,   121526,      64443,       497
 5555,       7617362,         7611819,           8345,     62236,       30447,        471,           ,             ,            ,   121534,      64426,       515
 5556,       7619160,         7613616,           8549,     62212,       30453,        474,           ,             ,            ,   121551,      64428,       502
 5557,       7623078,         7617533,           8333,     62196,       30473,        470,           ,             ,            ,   121560,      64444,       543
 5558,       7623896,         7618350,           8227,     62255,       30488,        445,           ,             ,            ,   121517,      64415,       519
 5559,       7625580,         7620033,           8235,     62224,       30425,        442,           ,             ,            ,   121635,      64424,       493
 5560,       7630711,         7625163,           8283,     62268,       30426,        479,           ,             ,            ,   121581,      64399,       493
 5561,       7633220,         7627671,           8272,     62260,       30482,        442,           ,             ,            ,   121640,      64477,       490
 5562,       7634365,         7628815,           8453,     62245,       30488,        431,           ,             ,            ,   121721,      64560,       486
 5563,       7636636,         7631085,           8525,     62260,       30511,        440,           ,             ,            ,   121762,      64499,       489
 5564,       7638745,         7633193,           8326,     62270,       30522,        428,           ,             ,            ,   121696,      64500,       489
 5565,       7639787,         7634234,           8406,     62270,       30453,        457,           ,             ,            ,   121732,      64521,       501
 5566,       7643520,         7637966,           8361,     62285,       30488,        445,           ,             ,            ,   121646,      64396,       497
 5567,       7647853,         7642298,           8421,     62327,       30539,        457,           ,             ,            ,   121761,      64548,       502
 5568,       7649135,         7643579,           8403,     62338,       30545,        431,           ,             ,            ,   121823,      64584,       491
 5569,       7651037,         7645480,           8421,     62355,       30573,        449,           ,             ,            ,   121801,      64531,       498
 5570,       7656552,         7650994,           8353,     62378,       30563,        485,           ,             ,            ,   121893,      64610,       493
 5571,       7656944,         7651385,           9105,     62353,       30587,        456,           ,             ,            ,   121916,      64621,       531
 5572,       7661156,         7655596,           9166,     62384,       30586,        460,           ,             ,            ,   121959,      64634,       503
 5573,       7661896,         7656335,           8975,     62443,       30512,        461,           ,             ,            ,   121937,      64601,       500
 5574,       7664043,         7658481,           8470,     62445,       30528,        455,           ,             ,            ,   121947,      64652,       547
 5575,       7667085,         7661522,           8696,     62444,       30596,        534,           ,             ,            ,   122011,      64677,       528
 5576,       7667864,         7662300,           9013,     62452,       30602,        449,           ,             ,            ,   121981,      64675,       518
 5577,       7668298,         7662733,           8815,     62492,       30545,        493,           ,             ,            ,   122050,      64710,       511
 5578,       7673486,         7667920,           8512,     62513,       30530,        483,           ,             ,            ,   122088,      64739,       523
 5579,       7675148,         7669581,           8633,     62519,       30582,        460,           ,             ,            ,   122082,      64725,       506
 5580,       7678477,         7672909,           8397,     62506,       30566,        505,           ,             ,            ,   122145,      64741,       504
 5581,       7683058,         7677489,           8472,     62457,       30582,        514,           ,             ,            ,   122080,      64718,       511
 5582,       7685656,         7680086,           8787,     62539,       30593,        460,           ,             ,            ,   122203,      64750,       504
 5583,       7690076,         7684505,           8373,     62511,       30556,        480,           ,             ,            ,   122231,      64792,       511
 5584,       7694805,         7689233,           8777,     62514,       30554,        501,           ,             ,            ,   122135,      64735,       549
 5585,       7695784,         7690211,           8874,     62565,       30661,        521,           ,             ,            ,   122200,      64768,       522
 5586,       7701274,         7695700,           8379,     62636,       30668,        500,           ,             ,            ,   122200,      64769,       504
 5587,       7704345,         7698770,           8418,     62532,       30650,        461,           ,             ,            ,   122264,      64780,       507
 5588,       7705856,         7700280,           8351,     62563,       30700,        467,           ,             ,            ,   122336,      64855,       506
 5589,       7710689,         7705112,           8480,     62634,       30717,        464,           ,             ,            ,   122293,      64811,       518
 5590,       7715799,         7710221,           8531,     62631,       30715,        453,           ,             ,            ,   122272,      64814,       500
