     n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
  3155,       2497859,         2494714,           2738,     32787,       16071,        256,           ,             ,            ,    63823,      33986,       264
  3156,       2500251,         2497105,           2767,     32778,       16094,        220,           ,             ,            ,    63786,      33968,       263
  3157,       2502107,         2498960,           2736,     32765,       16068,        222,           ,             ,            ,    63810,      33962,       259
  3158,       2505262,         2502114,           2746,     32799,       16072,        271,           ,             ,            ,    63825,      33985,       277
  3159,       2507248,         2504099,           2748,     32772,       16085,        235,           ,             ,            ,    63909,      34068,       266
  3160,       2509956,         2506806,           2743,     32790,       16082,        228,           ,             ,            ,    63854,      34018,       261
  3161,       2511242,         2508091,           2747,     32781,       16065,        249,           ,             ,            ,    63944,      34035,       273
  3162,       2513187,         2510035,           2728,     32845,       16114,        240,           ,             ,            ,    63936,      34050,       269
  3163,       2513316,         2510163,           2743,     32822,       16094,        255,           ,             ,            ,    63969,      34073,       276
  3164,       2514626,         2511472,           2863,     32838,       16101,        232,           ,             ,            ,    63954,      34050,       268
  3165,       2517034,         2513879,           2728,     32879,       16138,        231,           ,             ,            ,    64019,      34106,       264
  3166,       2518956,         2515800,           2835,     32879,       16118,        243,           ,             ,            ,    64002,      34076,       298
  3167,       2521760,         2518603,           2795,     32889,       16129,        228,           ,             ,            ,    64112,      34167,       262
  3168,       2522983,         2519825,           2808,     32901,       16146,        231,           ,             ,            ,    64058,      34116,       266
  3169,       2524067,         2520908,           2755,     32981,       16121,        269,           ,             ,            ,    64082,      34137,       263
  3170,       2526696,         2523536,           2739,     32976,       16120,        261,           ,             ,            ,    64171,      34187,       272
  3171,       2529494,         2526333,           2807,     32976,       16139,        254,           ,             ,            ,    64129,      34171,       270
  3172,       2530053,         2526891,           2743,     32995,       16126,        229,           ,             ,            ,    64189,      34213,       265
  3173,       2530348,         2527185,           2783,     32978,       16169,        250,           ,             ,            ,    64210,      34215,       273
  3174,       2532093,         2528929,           2762,     32986,       16165,        259,           ,             ,            ,    64224,      34174,       276
  3175,       2534568,         2531403,           2805,     32977,       16178,        255,           ,             ,            ,    64222,      34189,       270
  3176,       2536499,         2533333,           2747,     32994,       16206,        274,           ,             ,            ,    64275,      34230,       264
  3177,       2539521,         2536354,           2751,     32969,       16193,        260,           ,             ,            ,    64266,      34250,       275
  3178,       2541219,         2538051,           2802,     33016,       16212,        231,           ,             ,            ,    64279,      34254,       268
  3179,       2541899,         2538730,           2756,     33065,       16217,        231,           ,             ,            ,    64304,      34221,       303
  3180,       2543212,         2540042,           2824,     33045,       16184,        258,           ,             ,            ,    64375,      34318,       299
  3181,       2544836,         2541665,           2802,     33076,       16229,        238,           ,             ,            ,    64384,      34293,       287
  3182,       2545731,         2542559,           2814,     33099,       16233,        261,           ,             ,            ,    64442,      34320,       283
  3183,       2548187,         2545014,           2872,     33083,       16231,        243,           ,             ,            ,    64441,      34352,       273
  3184,       2549608,         2546434,           2764,     33093,       16244,        238,           ,             ,            ,    64459,      34348,       268
  3185,       2551635,         2548460,           2831,     33065,       16246,        300,           ,             ,            ,    64434,      34320,       329
  3186,       2553077,         2549901,           2765,     33077,       16272,        233,           ,             ,            ,    64458,      34322,       288
